,datetime,order_type,close1_ema33,rsi14,sto533,pos_bb20,sd_pos,profit_in_points,target
189,2016.04.04 20:00:00,1,0.00160466,61.2237,87.7871,1.82513,0.326996,-98,0
190,2016.04.05 06:00:01,0,-0.000156727,48.0984,35.3403,-0.746,-1.95296,-126,0
191,2016.04.05 08:00:01,1,0.00101294,58.6689,64.7727,1.21347,-1.44932,-131,0
192,2016.04.05 11:30:02,0,-0.000448993,45.322,19.7183,-1.27667,-0.941036,138,1
193,2016.04.05 22:30:00,1,2.92E-05,51.3603,74.6479,0.760783,-0.68955,67,1
194,2016.04.06 08:30:00,0,-1.50E-05,49.5472,44.2623,-0.907023,-2.11532,-31,0
195,2016.04.06 20:30:00,1,0.00205939,62.1401,85.5817,2.22364,1.17528,150,1
196,2016.04.07 11:30:00,0,0.000346375,51.4587,30.8351,-0.405501,-1.24996,-77,0
197,2016.04.07 12:00:00,1,0.00105071,57.1236,51.6796,1.40155,-1.16229,-402,0
198,2016.04.07 15:30:00,0,-0.00348718,36.4496,15.9305,-2.63119,1.6503,-129,0
199,2016.04.08 15:00:00,1,0.000788588,55.2979,52.6119,2.26965,-0.572498,-119,0
200,2016.04.08 19:00:00,0,-0.000526438,46.6363,18.1293,-0.36961,1.19366,-238,0
201,2016.04.08 20:30:00,1,0.00178453,60.1006,68.2379,2.19575,1.54554,-132,0
202,2016.04.11 15:00:00,0,-0.00247538,35.6175,19.8113,-3.4002,1.72367,-340,0
203,2016.04.11 20:00:00,1,0.00121979,55.8735,71.0021,0.787123,1.18427,-61,0
204,2016.04.12 02:30:00,0,-0.000255084,48.3009,54.5082,-0.279582,0.0291471,-83,0
205,2016.04.12 08:30:00,1,0.000541266,53.6968,66.5835,1.29252,-2.26241,-80,0
206,2016.04.12 10:30:00,0,-0.000244699,47.4809,48.0263,-0.775283,-1.49883,-61,0
207,2016.04.12 13:00:00,1,0.000345409,53.4363,76.3804,1.29289,-0.98143,-29,0
208,2016.04.12 18:30:00,0,-0.000637279,45.0404,10.7195,-0.673988,1.34719,1328,1
209,2016.04.14 20:00:00,1,0.000738055,55.8406,48.3476,2.16385,-0.229585,-223,0
210,2016.04.14 22:30:00,0,-0.00138415,44.5245,25.2046,-0.849726,1.03256,-144,0
211,2016.04.14 23:30:01,1,5.22E-05,51.2738,37.5,0.772,0.986145,-131,0
212,2016.04.15 03:00:00,0,-0.00114054,44.0225,28.1961,-1.37316,-0.752438,-112,0
213,2016.04.15 06:30:00,1,7.48E-05,51.2967,66.8539,0.297512,-1.64186,-128,0
214,2016.04.15 07:30:02,0,-0.00111298,42.8365,39.2962,-1.9537,-1.69506,-96,0
215,2016.04.15 12:30:00,1,5.21E-05,51.541,80.6867,0.63731,-1.51338,-58,0
216,2016.04.15 13:00:00,0,-0.000487439,45.3903,61.8182,-0.897306,-1.48897,-116,0
217,2016.04.15 13:30:00,1,0.000614175,56.5566,68.5619,1.85763,-1.09962,-185,0
218,2016.04.15 14:30:00,0,-0.00110966,41.5034,36.6372,-2.20801,-0.536639,-142,0
219,2016.04.15 16:00:00,1,0.00027023,52.7106,68.984,1.00995,-0.326232,354,1
220,2016.04.18 04:00:08,0,9.01E-05,49.3521,21.2366,-0.878927,-1.40373,77,1
221,2016.04.18 04:30:01,1,0.00102602,56.6795,44.0594,0.382252,-1.44009,-110,0
222,2016.04.18 09:30:09,0,-0.000580092,44.2883,17.7496,-1.62122,-0.807671,-192,0
223,2016.04.18 14:30:00,1,0.00129056,62.1309,77.0739,1.49835,0.602033,123,1
224,2016.04.19 04:30:00,0,0.0004395,52.1896,49.0411,-0.311663,-1.96785,-70,0
225,2016.04.19 09:00:01,1,0.00100872,58.7944,89.7561,1.24958,-1.40923,384,1
226,2016.04.20 04:30:00,0,0.000368495,50.1321,10.5479,-0.800672,-0.926451,-88,0
227,2016.04.20 09:00:00,1,0.000998779,58.9433,77.7778,0.206161,-1.11191,-100,0
228,2016.04.20 12:30:01,0,-0.000227625,45.6074,21.9802,-0.826957,-1.5232,-82,0
229,2016.04.20 16:30:00,1,0.000495354,53.8527,71.9864,0.5851,-1.17454,-260,0
230,2016.04.20 21:00:00,0,-0.00231643,34.228,10.2675,-2.75193,3.18237,386,1
231,2016.04.21 17:30:00,1,-0.000318955,49.5076,64.7849,0.941116,-0.406061,-118,0
232,2016.04.21 22:00:00,0,-0.00227371,42.5475,12.6814,-0.807334,1.76031,-137,0
233,2016.04.22 08:30:00,1,0.000465444,54.8285,93.9086,1.90021,-1.6391,-84,0
234,2016.04.22 14:00:00,0,-0.000449023,46.3326,36.4807,-0.351451,-0.447104,550,1
235,2016.04.25 09:00:00,1,-0.000275483,50.6905,57.6674,2.1053,-1.73362,232,1
236,2016.04.26 12:00:00,0,-0.000183258,46.5086,24.5283,-1.29962,-1.30236,-198,0
237,2016.04.26 15:00:00,1,0.00164811,62.8843,68.3386,3.16419,0.427147,68,1
238,2016.04.27 01:30:00,0,-7.96E-05,48.3271,16.0898,-0.54772,0.428891,-94,0
239,2016.04.27 05:30:03,1,0.000718434,53.9145,76.7677,-0.254891,-1.49464,1,1
240,2016.04.27 12:30:00,0,0.00015199,50.1696,20.8617,-0.145754,-1.17396,-70,0
241,2016.04.27 13:30:00,1,0.000794566,56.0282,54.4987,1.23632,-1.22314,-36,0
242,2016.04.27 19:00:00,0,-0.000361211,46.2544,21.8954,-0.723491,0.95567,-139,0
243,2016.04.27 20:00:00,1,0.000916851,55.335,60.6368,0.544822,0.779412,2,1
244,2016.04.28 03:30:00,0,0.000182416,50.2105,46.8529,-0.101557,-0.985756,-46,0
245,2016.04.28 04:00:00,1,0.000623451,52.6727,46.5268,0.429258,-1.0804,-105,0
246,2016.04.28 08:00:00,0,-0.000762071,43.8844,18.9911,-1.85108,-1.65845,-183,0
247,2016.04.28 11:00:00,1,0.00111932,55.4246,66.9118,0.976001,1.81611,-12,0
248,2016.04.28 20:30:00,0,-0.000970798,43.7039,18.427,-1.7336,-1.17336,-224,0
249,2016.04.29 01:00:00,1,0.00147919,57.7039,91.727,0.638011,-0.191202,1096,1
250,2016.05.02 14:30:00,0,0.000644832,52.7853,40.2247,-1.10253,-1.61079,-91,0
251,2016.05.02 15:00:00,1,0.00144455,61.5043,61.6872,0.530216,-1.63434,831,1
252,2016.05.03 20:30:00,0,-0.000150625,45.7963,10.6171,-0.617828,0.641607,462,1
253,2016.05.04 19:00:00,1,0.000837787,56.0187,76.2286,2.37547,-0.662997,-151,0
254,2016.05.04 23:30:00,0,-0.000669027,47.4032,52.7298,-0.359427,1.04366,-101,0
255,2016.05.05 02:00:00,1,0.000386486,52.5687,63.2867,0.627704,0.335717,-96,0
